old_path,new_path,confidence,rule_applied,notes,requires_review
AMPEL360-SPACE-T-PORTAL/STK_SAF-saf-safety/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_SAF__stakeholder-saf-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SAF-saf-safety/00_AMPEL360_SPACET_PLUS_GEN_LC01_K02_SAF__stakeholder-saf-entrypoint_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K02: Keyword 'saf' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SE-se-systems-engineering/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_SE__stakeholder-se-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SE-se-systems-engineering/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_SE__stakeholder-se-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_CM-cm-configuration-management/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_CM__stakeholder-cm-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_CM-cm-configuration-management/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__stakeholder-cm-entrypoint_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Keyword 'cm' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_OPS-ops-operations/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_OPS__stakeholder-ops-entrypoint_v01.md,AMPEL360-SPACE-T-PORTAL/STK_OPS-ops-operations/00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_OPS__stakeholder-ops-entrypoint_IDX_v01_ACTIVE.md,0.60,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Default to K04 for global artifacts (requires manual review) | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K10_industrialization-supplychain-quality/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K10_SPACEPORT__k10-industrialization-supplychain-quality_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K10_industrialization-supplychain-quality/00_AMPEL360_SPACET_PLUS_GEN_LC01_K10_SPACEPORT__k10-industrialization-supplychain-quality_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K03_hazmat-cryo-propellants-safety-case/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K03_SPACEPORT__k03-hazmat-cryo-propellants-safety-case_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K03_hazmat-cryo-propellants-safety-case/00_AMPEL360_SPACET_PLUS_GEN_LC01_K03_SPACEPORT__k03-hazmat-cryo-propellants-safety-case_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K09_infrastructure-permitting-jurisdiction/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K09_SPACEPORT__k09-infrastructure-permitting-jurisdiction_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K09_infrastructure-permitting-jurisdiction/00_AMPEL360_SPACET_PLUS_GEN_LC01_K09_SPACEPORT__k09-infrastructure-permitting-jurisdiction_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K11_human-factors-training-readiness/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K11_SPACEPORT__k11-human-factors-training-readiness_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K11_human-factors-training-readiness/00_AMPEL360_SPACET_PLUS_GEN_LC01_K11_SPACEPORT__k11-human-factors-training-readiness_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K10_industrialization-supplychain-quality/ATA_TASKS/ATA_10/10_AMPEL360_SPACET_PLUS_00_IDX_LC01_K10_SPACEPORT__k10-ata-10-tasklist_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K10_industrialization-supplychain-quality/ATA_TASKS/ATA_10/10_AMPEL360_SPACET_PLUS_GEN_LC01_K10_SPACEPORT__k10-ata-10-tasklist_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K10_industrialization-supplychain-quality/ATA_TASKS/ATA_00/00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K10_SPACEPORT__k10-ata-00-tasklist_v01.md,AMPEL360-SPACE-T-PORTAL/STK_SPACEPORT-spaceport-spaceport-airport-ops/KNOTS/K10_industrialization-supplychain-quality/ATA_TASKS/ATA_00/00_AMPEL360_SPACET_PLUS_GEN_LC01_K10_SPACEPORT__k10-ata-00-tasklist_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
